GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van:","Margin of Error; Total: - Car, truck, or van:","Estimate; Total: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Car, truck, or van: - Drove alone","Estimate; Total: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Car, truck, or van: - Carpooled:","Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Bicycle,Margin of Error; Total: - Bicycle,Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male:,Margin of Error; Total: - Male:,"Estimate; Total: - Male: - Car, truck, or van:","Margin of Error; Total: - Male: - Car, truck, or van:","Estimate; Total: - Male: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Male: - Car, truck, or van: - Drove alone","Estimate; Total: - Male: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled:","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Male: - Public transportation (excluding taxicab):,Margin of Error; Total: - Male: - Public transportation (excluding taxicab):,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Male: - Bicycle,Margin of Error; Total: - Male: - Bicycle,Estimate; Total: - Male: - Walked,Margin of Error; Total: - Male: - Walked,"Estimate; Total: - Male: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Male: - Taxicab, motorcycle, or other means",Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female:,Margin of Error; Total: - Female:,"Estimate; Total: - Female: - Car, truck, or van:","Margin of Error; Total: - Female: - Car, truck, or van:","Estimate; Total: - Female: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Female: - Car, truck, or van: - Drove alone","Estimate; Total: - Female: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled:","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Female: - Public transportation (excluding taxicab):,Margin of Error; Total: - Female: - Public transportation (excluding taxicab):,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Female: - Bicycle,Margin of Error; Total: - Female: - Bicycle,Estimate; Total: - Female: - Walked,Margin of Error; Total: - Female: - Walked,"Estimate; Total: - Female: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Female: - Taxicab, motorcycle, or other means",Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",1663,262,595,147,417,152,178,80,173,79,5,9,0,15,111,51,111,51,0,15,0,15,0,15,0,15,10,15,831,191,0,15,116,89,656,152,189,73,109,58,80,61,75,60,5,9,0,15,66,39,66,39,0,15,0,15,0,15,0,15,10,15,339,116,0,15,52,63,1007,216,406,128,308,131,98,56,98,56,0,15,0,15,45,28,45,28,0,15,0,15,0,15,0,15,0,15,492,138,0,15,64,49
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",2131,294,838,183,766,181,72,65,72,65,0,10,0,10,180,128,167,127,2,4,11,17,0,10,0,10,25,21,909,211,65,75,114,53,1227,185,508,127,491,129,17,27,17,27,0,10,0,10,100,97,98,97,2,4,0,10,0,10,0,10,19,23,485,139,37,43,78,41,904,194,330,121,275,114,55,44,55,44,0,10,0,10,80,56,69,53,0,10,11,17,0,10,0,10,6,12,424,136,28,35,36,34
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",586,94,397,98,321,83,76,71,76,71,0,10,0,10,28,37,28,37,0,10,0,10,0,10,0,10,12,18,106,57,0,10,43,22,312,62,197,64,176,60,21,34,21,34,0,10,0,10,21,36,21,36,0,10,0,10,0,10,0,10,12,18,51,33,0,10,31,18,274,61,200,55,145,48,55,44,55,44,0,10,0,10,7,11,7,11,0,10,0,10,0,10,0,10,0,10,55,34,0,10,12,14
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",586,162,287,114,253,116,34,42,24,38,10,14,0,10,193,82,193,82,0,10,0,10,0,10,0,10,0,10,95,55,11,20,0,10,256,129,136,102,136,102,0,10,0,10,0,10,0,10,92,50,92,50,0,10,0,10,0,10,0,10,0,10,28,29,0,10,0,10,330,106,151,75,117,58,34,42,24,38,10,14,0,10,101,64,101,64,0,10,0,10,0,10,0,10,0,10,67,42,11,20,0,10
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",560,132,181,81,150,73,31,28,26,24,5,9,0,10,107,63,107,63,0,10,0,10,0,10,0,10,0,10,208,105,12,14,52,47,142,68,47,33,42,32,5,10,5,10,0,10,0,10,43,37,43,37,0,10,0,10,0,10,0,10,0,10,39,40,8,12,5,8,418,110,134,70,108,64,26,23,21,18,5,9,0,10,64,42,64,42,0,10,0,10,0,10,0,10,0,10,169,86,4,8,47,45
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",658,161,218,86,196,80,22,30,22,30,0,10,0,10,107,75,107,75,0,10,0,10,0,10,0,10,0,10,238,141,0,10,95,70,367,128,118,51,105,50,13,16,13,16,0,10,0,10,42,32,42,32,0,10,0,10,0,10,0,10,0,10,144,129,0,10,63,58,291,95,100,58,91,54,9,15,9,15,0,10,0,10,65,61,65,61,0,10,0,10,0,10,0,10,0,10,94,56,0,10,32,27
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",1564,328,388,143,247,105,141,73,135,72,6,13,0,10,202,99,202,99,0,10,0,10,0,10,0,10,19,16,842,243,51,91,62,48,472,165,115,60,50,38,65,51,65,51,0,10,0,10,28,24,28,24,0,10,0,10,0,10,0,10,19,16,284,124,0,10,26,25,1092,295,273,128,197,92,76,59,70,57,6,13,0,10,174,90,174,90,0,10,0,10,0,10,0,10,0,10,558,220,51,91,36,30
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",1371,210,559,169,478,151,81,61,70,56,11,17,0,10,225,87,223,87,2,4,0,10,0,10,0,10,14,15,553,147,0,10,20,31,617,163,313,129,269,121,44,45,44,45,0,10,0,10,87,51,85,51,2,4,0,10,0,10,0,10,8,12,200,57,0,10,9,15,754,191,246,111,209,107,37,31,26,27,11,17,0,10,138,73,138,73,0,10,0,10,0,10,0,10,6,10,353,151,0,10,11,17
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",1426,268,606,166,555,145,51,44,51,44,0,10,0,10,238,111,238,111,0,10,0,10,0,10,0,10,30,32,509,173,26,21,17,21,885,226,395,127,362,107,33,40,33,40,0,10,0,10,90,59,90,59,0,10,0,10,0,10,0,10,30,32,355,152,15,18,0,10,541,128,211,78,193,75,18,21,18,21,0,10,0,10,148,96,148,96,0,10,0,10,0,10,0,10,0,10,154,63,11,12,17,21
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",626,161,339,115,250,88,89,51,53,35,36,36,0,10,226,107,226,107,0,10,0,10,0,10,0,10,0,10,61,36,0,10,0,10,224,92,122,58,87,56,35,28,35,28,0,10,0,10,76,64,76,64,0,10,0,10,0,10,0,10,0,10,26,22,0,10,0,10,402,107,217,86,163,74,54,40,18,15,36,36,0,10,150,68,150,68,0,10,0,10,0,10,0,10,0,10,35,30,0,10,0,10
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",669,162,359,117,304,97,55,42,42,36,13,21,0,10,172,71,172,71,0,10,0,10,0,10,0,10,0,10,119,117,10,15,9,13,263,111,155,83,134,75,21,29,15,27,6,10,0,10,44,39,44,39,0,10,0,10,0,10,0,10,0,10,64,65,0,10,0,10,406,104,204,74,170,66,34,24,27,21,7,11,0,10,128,64,128,64,0,10,0,10,0,10,0,10,0,10,55,69,10,15,9,13
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",237,68,83,53,56,41,27,33,27,33,0,10,0,10,125,65,125,65,0,10,0,10,0,10,0,10,0,10,29,30,0,10,0,10,104,46,55,36,49,37,6,10,6,10,0,10,0,10,20,17,20,17,0,10,0,10,0,10,0,10,0,10,29,30,0,10,0,10,133,63,28,36,7,13,21,32,21,32,0,10,0,10,105,62,105,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",567,144,201,92,174,86,27,33,20,22,7,14,0,10,147,60,147,60,0,10,0,10,0,10,0,10,0,10,161,101,15,24,43,52,229,100,90,62,77,61,13,17,6,10,7,14,0,10,46,29,46,29,0,10,0,10,0,10,0,10,0,10,73,48,0,10,20,41,338,97,111,55,97,51,14,20,14,20,0,10,0,10,101,59,101,59,0,10,0,10,0,10,0,10,0,10,88,70,15,24,23,32
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",144,68,40,57,40,57,0,10,0,10,0,10,0,10,99,47,99,47,0,10,0,10,0,10,0,10,0,10,5,8,0,10,0,10,17,15,3,6,3,6,0,10,0,10,0,10,0,10,14,14,14,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,127,70,37,57,37,57,0,10,0,10,0,10,0,10,85,48,85,48,0,10,0,10,0,10,0,10,0,10,5,8,0,10,0,10
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",1451,177,685,161,614,161,71,45,67,44,0,10,4,9,282,101,282,101,0,10,0,10,0,10,0,10,76,61,350,148,9,13,49,58,772,144,371,114,336,107,35,31,31,29,0,10,4,9,110,65,110,65,0,10,0,10,0,10,0,10,34,31,210,114,9,13,38,43,679,106,314,100,278,102,36,31,36,31,0,10,0,10,172,77,172,77,0,10,0,10,0,10,0,10,42,45,140,71,0,10,11,17
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",912,131,630,122,524,130,106,47,84,37,16,22,6,9,109,86,109,86,0,10,0,10,0,10,0,10,5,10,125,73,14,21,29,27,524,138,370,125,319,129,51,27,38,22,7,9,6,9,68,56,68,56,0,10,0,10,0,10,0,10,5,10,58,41,0,10,23,25,388,84,260,56,205,54,55,30,46,27,9,13,0,10,41,37,41,37,0,10,0,10,0,10,0,10,0,10,67,64,14,21,6,8
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",1238,168,681,150,580,138,101,66,92,65,9,13,0,10,192,76,192,76,0,10,0,10,0,10,0,10,58,51,212,76,18,20,77,64,563,111,313,103,253,95,60,49,60,49,0,10,0,10,81,55,81,55,0,10,0,10,0,10,0,10,31,29,100,50,18,20,20,22,675,150,368,128,327,126,41,34,32,33,9,13,0,10,111,45,111,45,0,10,0,10,0,10,0,10,27,28,112,57,0,10,57,62
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",1901,236,1178,194,1006,158,172,93,158,89,1,2,13,20,349,101,341,102,0,10,0,10,8,12,0,10,81,52,195,76,8,12,90,78,1016,211,609,151,561,136,48,37,40,34,1,2,7,11,168,82,168,82,0,10,0,10,0,10,0,10,32,30,125,72,8,12,74,70,885,114,569,120,445,102,124,75,118,73,0,10,6,9,181,63,173,62,0,10,0,10,8,12,0,10,49,44,70,40,0,10,16,18
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",1410,150,902,141,835,138,67,47,57,45,0,10,10,16,332,87,332,87,0,10,0,10,0,10,0,10,26,22,134,61,0,10,16,19,707,131,478,115,446,122,32,33,22,31,0,10,10,16,150,67,150,67,0,10,0,10,0,10,0,10,18,20,61,49,0,10,0,10,703,117,424,107,389,106,35,32,35,32,0,10,0,10,182,68,182,68,0,10,0,10,0,10,0,10,8,12,73,41,0,10,16,19
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",973,145,708,139,575,131,133,71,125,74,0,10,8,19,166,67,166,67,0,10,0,10,0,10,0,10,13,20,65,44,0,10,21,24,399,90,283,90,240,84,43,27,35,25,0,10,8,19,93,53,93,53,0,10,0,10,0,10,0,10,0,10,23,33,0,10,0,10,574,129,425,128,335,125,90,64,90,64,0,10,0,10,73,43,73,43,0,10,0,10,0,10,0,10,13,20,42,32,0,10,21,24
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",2567,402,1026,208,855,202,171,112,134,115,37,46,0,10,590,165,590,165,0,10,0,10,0,10,0,10,159,192,598,194,116,108,78,76,1459,409,542,121,429,106,113,94,92,106,21,34,0,10,317,149,317,149,0,10,0,10,0,10,0,10,143,188,331,138,66,82,60,68,1108,276,484,186,426,181,58,45,42,36,16,25,0,10,273,126,273,126,0,10,0,10,0,10,0,10,16,26,267,125,50,76,18,36
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",1079,135,561,134,454,124,107,59,107,59,0,10,0,10,239,79,239,79,0,10,0,10,0,10,0,10,70,44,173,66,22,23,14,21,569,117,290,100,258,91,32,28,32,28,0,10,0,10,109,55,109,55,0,10,0,10,0,10,0,10,46,38,88,40,22,23,14,21,510,96,271,87,196,81,75,45,75,45,0,10,0,10,130,55,130,55,0,10,0,10,0,10,0,10,24,23,85,55,0,10,0,10
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",903,135,392,74,268,59,124,71,109,65,15,24,0,10,317,98,317,98,0,10,0,10,0,10,0,10,45,48,124,47,0,10,25,23,492,148,188,57,126,41,62,40,52,35,10,16,0,10,166,130,166,130,0,10,0,10,0,10,0,10,45,48,72,41,0,10,21,22,411,117,204,56,142,53,62,37,57,36,5,8,0,10,151,110,151,110,0,10,0,10,0,10,0,10,0,10,52,26,0,10,4,6
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",1415,206,695,163,639,161,56,33,43,29,13,15,0,10,229,81,229,81,0,10,0,10,0,10,0,10,161,95,246,84,13,18,71,62,700,141,306,104,296,103,10,15,10,15,0,10,0,10,94,46,94,46,0,10,0,10,0,10,0,10,105,73,160,72,13,18,22,24,715,132,389,97,343,96,46,31,33,27,13,15,0,10,135,61,135,61,0,10,0,10,0,10,0,10,56,60,86,42,0,10,49,59
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1235,205,494,147,396,138,98,76,98,76,0,10,0,10,283,99,283,99,0,10,0,10,0,10,0,10,88,58,316,112,7,17,47,52,595,139,187,83,127,62,60,61,60,61,0,10,0,10,133,80,133,80,0,10,0,10,0,10,0,10,68,53,164,94,7,17,36,51,640,146,307,121,269,116,38,30,38,30,0,10,0,10,150,64,150,64,0,10,0,10,0,10,0,10,20,23,152,74,0,10,11,18
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",1194,138,595,111,484,99,111,61,107,60,4,6,0,10,325,94,325,94,0,10,0,10,0,10,0,10,90,52,158,71,11,11,15,16,582,124,307,70,250,67,57,32,53,30,4,6,0,10,173,71,173,71,0,10,0,10,0,10,0,10,19,17,71,60,5,7,7,13,612,93,288,71,234,66,54,32,54,32,0,10,0,10,152,78,152,78,0,10,0,10,0,10,0,10,71,52,87,44,6,9,8,10
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1015,147,746,168,632,169,114,46,92,43,22,18,0,10,137,59,137,59,0,10,0,10,0,10,0,10,42,35,46,26,0,10,44,31,499,74,375,81,321,81,54,28,36,24,18,18,0,10,52,37,52,37,0,10,0,10,0,10,0,10,22,29,18,17,0,10,32,27,516,103,371,111,311,111,60,27,56,25,4,6,0,10,85,40,85,40,0,10,0,10,0,10,0,10,20,18,28,19,0,10,12,12
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",1642,135,933,148,748,145,185,83,169,79,16,17,0,10,315,112,315,112,0,10,0,10,0,10,0,10,51,33,247,79,61,53,35,26,885,105,546,95,437,98,109,57,99,53,10,15,0,10,152,90,152,90,0,10,0,10,0,10,0,10,23,22,111,64,33,40,20,18,757,136,387,115,311,106,76,36,70,36,6,9,0,10,163,71,163,71,0,10,0,10,0,10,0,10,28,27,136,62,28,35,15,17
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",860,103,483,105,448,110,35,26,35,26,0,10,0,10,196,67,196,67,0,10,0,10,0,10,0,10,59,36,98,47,14,15,10,13,493,87,282,80,276,81,6,9,6,9,0,10,0,10,101,48,101,48,0,10,0,10,0,10,0,10,40,29,65,41,5,7,0,10,367,80,201,54,172,55,29,21,29,21,0,10,0,10,95,54,95,54,0,10,0,10,0,10,0,10,19,21,33,23,9,13,10,13
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",996,137,836,135,699,138,137,74,105,68,32,29,0,10,83,49,83,49,0,10,0,10,0,10,0,10,17,17,17,27,16,17,27,27,460,106,402,105,320,95,82,71,58,66,24,25,0,10,30,23,30,23,0,10,0,10,0,10,0,10,4,9,0,10,16,17,8,12,536,81,434,76,379,80,55,34,47,32,8,11,0,10,53,40,53,40,0,10,0,10,0,10,0,10,13,14,17,27,0,10,19,20
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",1505,210,932,171,826,156,106,77,97,76,0,10,9,14,333,114,333,114,0,10,0,10,0,10,0,10,23,27,129,64,18,27,70,48,647,125,412,112,388,113,24,27,24,27,0,10,0,10,134,70,134,70,0,10,0,10,0,10,0,10,23,27,27,26,18,27,33,29,858,147,520,131,438,112,82,54,73,53,0,10,9,14,199,80,199,80,0,10,0,10,0,10,0,10,0,10,102,56,0,10,37,34
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",1777,177,1384,161,1210,154,174,68,174,68,0,10,0,10,303,108,303,108,0,10,0,10,0,10,0,10,0,10,7,11,14,16,69,54,901,165,698,122,612,106,86,41,86,41,0,10,0,10,173,93,173,93,0,10,0,10,0,10,0,10,0,10,7,11,8,13,15,17,876,131,686,128,598,128,88,56,88,56,0,10,0,10,130,64,130,64,0,10,0,10,0,10,0,10,0,10,0,10,6,10,54,46
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",171,56,81,37,68,32,13,16,6,11,7,13,0,10,59,35,59,35,0,10,0,10,0,10,0,10,0,10,24,22,5,7,2,4,93,42,26,20,26,20,0,10,0,10,0,10,0,10,43,34,43,34,0,10,0,10,0,10,0,10,0,10,24,22,0,10,0,10,78,34,55,29,42,23,13,16,6,11,7,13,0,10,16,15,16,15,0,10,0,10,0,10,0,10,0,10,0,10,5,7,2,4
1400000US42003101700,42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",616,97,437,91,404,96,33,40,25,36,0,10,8,14,107,81,105,81,0,10,2,5,0,10,0,10,5,7,51,36,5,9,11,15,266,67,203,63,190,62,13,17,5,9,0,10,8,14,42,34,42,34,0,10,0,10,0,10,0,10,0,10,15,17,5,9,1,3,350,62,234,47,214,48,20,34,20,34,0,10,0,10,65,58,63,58,0,10,2,5,0,10,0,10,5,7,36,37,0,10,10,15
1400000US42003101800,42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",1449,165,1276,182,1058,159,218,92,159,71,36,40,23,37,84,45,84,45,0,10,0,10,0,10,0,10,47,40,37,34,0,10,5,9,787,111,668,115,557,105,111,59,78,47,20,21,13,21,45,30,45,30,0,10,0,10,0,10,0,10,47,40,27,30,0,10,0,10,662,92,608,105,501,105,107,60,81,57,16,25,10,17,39,33,39,33,0,10,0,10,0,10,0,10,0,10,10,16,0,10,5,9
