GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,"Estimate; Aggregate number of vehicles (car, truck, or van) used in commuting:","Margin of Error; Aggregate number of vehicles (car, truck, or van) used in commuting:","Estimate; Aggregate number of vehicles (car, truck, or van) used in commuting: - Male","Margin of Error; Aggregate number of vehicles (car, truck, or van) used in commuting: - Male","Estimate; Aggregate number of vehicles (car, truck, or van) used in commuting: - Female","Margin of Error; Aggregate number of vehicles (car, truck, or van) used in commuting: - Female"
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",505,145,150,60,355,126
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",800,180,500,126,305,116
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",360,85,185,58,175,47
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",270,113,135,102,130,65
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",165,76,45,32,120,66
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",205,83,110,50,95,57
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",315,119,85,45,235,109
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",515,158,290,122,225,108
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",580,154,380,115,200,76
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",290,97,105,56,185,76
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",330,105,145,78,185,68
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",70,44,50,37,20,24
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",185,88,80,61,105,53
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",650,160,350,110,295,101
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",575,124,340,127,230,52
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",630,140,285,96,345,126
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",1090,169,585,142,505,105
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",865,137,460,118,405,105
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",640,131,260,87,380,121
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",935,199,480,105,450,182
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",510,125,275,95,235,82
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",325,56,155,44,170,51
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",665,162,300,103,365,96
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",445,137,155,68,290,118
