GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Total: - Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Total: - Car, truck, or van - drove alone: - 65 years and over","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Total: - Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Total: - Car, truck, or van - carpooled: - 65 years and over",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Total: - Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Total: - Public transportation (excluding taxicab): - 65 years and over,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - 16 to 19 years,Margin of Error; Total: - Walked: - 16 to 19 years,Estimate; Total: - Walked: - 20 to 24 years,Margin of Error; Total: - Walked: - 20 to 24 years,Estimate; Total: - Walked: - 25 to 44 years,Margin of Error; Total: - Walked: - 25 to 44 years,Estimate; Total: - Walked: - 45 to 54 years,Margin of Error; Total: - Walked: - 45 to 54 years,Estimate; Total: - Walked: - 55 to 59 years,Margin of Error; Total: - Walked: - 55 to 59 years,Estimate; Total: - Walked: - 60 to 64 years,Margin of Error; Total: - Walked: - 60 to 64 years,Estimate; Total: - Walked: - 65 years and over,Margin of Error; Total: - Walked: - 65 years and over,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over,Margin of Error; Total: - Worked at home: - 65 years and over
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",1663,262,620,141,779,245,111,61,71,68,43,32,15,16,24,18,417,152,131,61,264,137,0,15,3,6,19,24,0,15,0,15,178,80,78,61,68,45,14,13,0,15,0,15,9,14,9,14,111,51,26,30,11,23,33,23,7,9,24,20,0,15,10,11,831,191,310,95,407,171,54,52,49,61,0,15,6,9,5,8,10,15,0,15,0,15,10,15,0,15,0,15,0,15,0,15,116,89,75,80,29,28,0,15,12,27,0,15,0,15,0,15
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",2131,294,235,82,426,209,784,222,356,143,68,61,137,73,125,77,766,181,23,26,107,64,356,172,142,87,50,57,52,39,36,59,72,65,18,25,20,23,34,55,0,10,0,10,0,10,0,10,180,128,8,17,59,90,82,73,13,20,0,10,0,10,18,21,909,211,147,68,199,101,273,118,159,82,0,10,85,60,46,29,90,79,13,19,29,35,37,43,0,10,11,17,0,10,0,10,114,53,26,29,12,18,2,4,42,29,7,13,0,10,25,35
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",586,94,0,10,47,43,362,108,83,40,41,27,32,27,21,18,321,83,0,10,24,23,196,72,35,25,27,21,25,24,14,14,76,71,0,10,0,10,57,71,19,23,0,10,0,10,0,10,28,37,0,10,0,10,21,36,0,10,7,11,0,10,0,10,106,57,0,10,11,18,67,50,21,18,0,10,7,11,0,10,12,18,0,10,12,18,0,10,0,10,0,10,0,10,0,10,43,22,0,10,0,10,21,19,8,12,7,11,0,10,7,10
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",586,162,0,10,35,32,287,111,93,64,77,48,32,29,62,42,253,116,0,10,21,23,110,87,23,26,57,43,0,10,42,35,34,42,0,10,0,10,10,14,24,38,0,10,0,10,0,10,193,82,0,10,14,23,103,67,36,33,0,10,21,23,19,22,95,55,0,10,0,10,64,48,0,10,20,22,11,16,0,10,11,20,0,10,0,10,0,10,10,18,0,10,0,10,1,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",560,132,110,106,165,85,171,77,25,19,75,47,14,15,0,10,150,73,13,20,57,50,44,34,4,8,27,29,5,8,0,10,31,28,9,17,1,3,11,13,5,10,5,9,0,10,0,10,107,63,0,10,8,16,80,60,6,9,4,8,9,14,0,10,208,105,64,95,88,67,13,20,4,7,39,45,0,10,0,10,12,14,4,8,0,10,8,12,0,10,0,10,0,10,0,10,52,47,20,30,11,10,15,31,6,8,0,10,0,10,0,10
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",658,161,93,101,182,100,114,60,55,50,0,10,56,45,158,56,196,80,17,34,33,28,13,16,17,16,0,10,46,35,70,42,22,30,0,10,4,7,0,10,0,10,0,10,0,10,18,29,107,75,0,10,45,47,9,13,36,45,0,10,0,10,17,20,238,141,76,94,67,59,60,38,0,10,0,10,10,16,25,23,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,95,70,0,10,33,54,32,33,2,6,0,10,0,10,28,30
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",1564,328,183,117,1090,275,160,103,68,53,0,10,21,27,42,35,247,105,0,10,180,100,25,23,34,27,0,10,8,10,0,10,141,73,6,13,80,57,37,27,10,15,0,10,0,10,8,14,202,99,5,11,197,99,0,10,0,10,0,10,0,10,0,10,842,243,91,77,615,212,78,72,24,27,0,10,0,10,34,30,70,94,70,94,0,10,0,10,0,10,0,10,0,10,0,10,62,48,11,15,18,24,20,31,0,10,0,10,13,26,0,10
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",1371,210,34,34,1035,206,216,105,55,61,19,21,0,10,12,21,478,151,15,17,331,135,91,67,41,61,0,10,0,10,0,10,81,61,0,10,57,46,12,19,12,19,0,10,0,10,0,10,225,87,0,10,184,82,27,25,2,4,0,10,0,10,12,21,553,147,19,29,429,152,86,43,0,10,19,21,0,10,0,10,14,15,0,10,14,15,0,10,0,10,0,10,0,10,0,10,20,31,0,10,20,31,0,10,0,10,0,10,0,10,0,10
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",1426,268,30,31,701,257,384,124,189,56,40,30,40,39,42,27,555,145,0,10,243,97,218,87,47,35,3,8,28,35,16,18,51,44,11,18,30,38,0,10,0,10,0,10,0,10,10,12,238,111,0,10,162,94,25,25,39,49,0,10,12,18,0,10,509,173,10,13,230,144,131,70,103,61,19,22,0,10,16,16,56,35,9,16,36,34,5,10,0,10,6,10,0,10,0,10,17,21,0,10,0,10,5,11,0,10,12,18,0,10,0,10
