GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median earnings in the past 12 months -- - Total:
HD02_VD02,Margin of Error; Median earnings in the past 12 months -- - Total:
HD01_VD03,"Estimate; Median earnings in the past 12 months -- - Total: - Car, truck, or van - drove alone"
HD02_VD03,"Margin of Error; Median earnings in the past 12 months -- - Total: - Car, truck, or van - drove alone"
HD01_VD04,"Estimate; Median earnings in the past 12 months -- - Total: - Car, truck, or van - carpooled"
HD02_VD04,"Margin of Error; Median earnings in the past 12 months -- - Total: - Car, truck, or van - carpooled"
HD01_VD05,Estimate; Median earnings in the past 12 months -- - Total: - Public transportation (excluding taxicab)
HD02_VD05,Margin of Error; Median earnings in the past 12 months -- - Total: - Public transportation (excluding taxicab)
HD01_VD06,Estimate; Median earnings in the past 12 months -- - Total: - Walked
HD02_VD06,Margin of Error; Median earnings in the past 12 months -- - Total: - Walked
HD01_VD07,"Estimate; Median earnings in the past 12 months -- - Total: - Taxicab, motorcycle, bicycle, or other means"
HD02_VD07,"Margin of Error; Median earnings in the past 12 months -- - Total: - Taxicab, motorcycle, bicycle, or other means"
HD01_VD08,Estimate; Median earnings in the past 12 months -- - Total: - Worked at home
HD02_VD08,Margin of Error; Median earnings in the past 12 months -- - Total: - Worked at home
