GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median earnings in the past 12 months -- - Total:,Margin of Error; Median earnings in the past 12 months -- - Total:,"Estimate; Median earnings in the past 12 months -- - Total: - Car, truck, or van - drove alone","Margin of Error; Median earnings in the past 12 months -- - Total: - Car, truck, or van - drove alone","Estimate; Median earnings in the past 12 months -- - Total: - Car, truck, or van - carpooled","Margin of Error; Median earnings in the past 12 months -- - Total: - Car, truck, or van - carpooled",Estimate; Median earnings in the past 12 months -- - Total: - Public transportation (excluding taxicab),Margin of Error; Median earnings in the past 12 months -- - Total: - Public transportation (excluding taxicab),Estimate; Median earnings in the past 12 months -- - Total: - Walked,Margin of Error; Median earnings in the past 12 months -- - Total: - Walked,"Estimate; Median earnings in the past 12 months -- - Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Median earnings in the past 12 months -- - Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Median earnings in the past 12 months -- - Total: - Worked at home,Margin of Error; Median earnings in the past 12 months -- - Total: - Worked at home
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",4663,1044,4162,1582,5104,2088,20583,10443,4237,1239,-,**,6000,13284
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",50088,4723,49375,3498,50673,69139,55550,85529,51831,19946,13203,17629,63214,55309
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",56111,12876,65804,30318,39762,53306,-,**,54643,22600,-,**,57361,42676
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",22340,10353,31133,12194,-,**,14766,6983,45380,17174,-,**,-,**
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",18235,9133,23750,29340,4917,30038,24821,8075,15484,16019,-,**,5000,27089
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",12195,11793,13438,93603,6250,11729,38281,54186,6944,13181,-,**,26094,37003
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",8157,1396,10938,2778,17344,9140,7181,2281,6731,2692,"2,500-",***,16944,28552
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",10253,4041,8875,6824,26761,8417,6810,2862,10532,4200,-,**,-,**
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",18387,9753,16620,18882,9375,12194,10238,16838,25029,7085,4583,5031,-,**
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",27500,9565,41944,5199,31964,19167,14453,5579,20208,10172,-,**,-,**
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",26335,6796,34286,15918,25956,17112,22722,8893,70208,112774,-,**,-,**
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",17656,13457,20000,17909,-,**,26382,12170,-,**,-,**,-,**
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",8317,6276,11979,10540,4107,34424,15365,13754,6950,15240,-,**,7768,4987
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",17935,23058,-,**,-,**,20224,1610,-,**,-,**,-,**
