GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",274,53,46608,9191,82.1,9.2,48688,8518,19.7,15.0,1109,4013,23.0,9.1,16825,5113,6.2,3.8,9818,5461,3.6,3.8,770,934,16.8,7.7,11330,8474,73,30,71245,13806,5.5,10.2,N,N,42.5,22.0,N,N,52.1,20.2,N,N,0.0,28.3,N,N,0.0,28.3,N,N,0.0,28.3,N,N,6027,606,6718,793,73.9,3.3,6549,830,19.8,3.0,6559,1793,0.3,0.3,N,N,2.4,1.1,14352,6785,0.0,0.4,-,**,0.0,0.4,-,**,3.6,1.6,6173,2342,2.0,1.3,9573,6458,72.4,3.2,6442,842,31.0,(X),(X),(X),38.4,(X),(X),(X),16.0,(X),(X),(X)
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",1831,129,106215,19652,82.9,3.9,113980,22793,26.7,8.1,9707,5777,18.1,5.1,18381,3486,4.4,2.3,12753,4552,2.3,1.7,1374,1621,7.6,3.1,35759,18412,374,111,166345,42111,21.1,11.6,N,N,25.7,13.4,N,N,47.1,18.8,N,N,2.7,4.0,N,N,3.5,5.7,N,N,0.0,6.5,N,N,4086,376,49755,9269,71.2,4.9,62335,12781,16.1,4.0,12670,3471,0.4,0.5,N,N,9.3,3.2,25364,11479,0.1,0.2,N,N,0.0,0.1,N,N,2.8,1.9,30568,29996,4.8,2.8,33546,19542,68.5,5.0,63611,13112,25.2,(X),(X),(X),27.3,(X),(X),(X),20.5,(X),(X),(X)
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",478,66,156022,72595,95.4,4.1,128171,48695,19.7,6.8,137878,131052,7.3,5.1,20803,5954,0.0,5.1,-,**,0.0,5.1,-,**,7.3,5.0,50506,49363,136,47,358223,266404,11.0,12.6,N,N,26.5,15.2,N,N,62.5,18.7,N,N,0.0,16.7,N,N,0.0,16.7,N,N,0.0,16.7,N,N,689,109,107779,49490,81.3,8.1,120790,62422,7.5,6.6,20504,25918,0.0,3.6,-,**,11.2,6.1,72088,38321,0.0,3.6,-,**,0.0,3.6,-,**,0.0,3.6,-,**,0.7,1.2,N,N,81.3,8.1,120790,62422,13.0,(X),(X),(X),29.4,(X),(X),(X),14.6,(X),(X),(X)
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",1146,101,26694,5444,44.5,8.3,34243,10259,4.5,4.6,8487,11456,53.8,7.1,11397,1284,18.4,8.4,9493,2636,12.0,6.5,2020,1097,16.0,6.8,11073,5272,429,97,32812,9115,38.9,15.2,N,N,49.0,14.6,N,N,0.0,5.7,N,N,7.0,5.7,N,N,2.8,4.3,N,N,2.3,4.0,N,N,2162,250,14781,2918,8.5,4.6,21307,7508,82.5,8.2,13696,1923,1.0,1.4,N,N,0.0,1.1,-,**,0.0,1.1,-,**,4.2,6.7,5315,198,3.8,4.3,N,N,2.7,3.0,N,N,8.0,4.7,22531,7813,41.4,(X),(X),(X),44.5,(X),(X),(X),41.3,(X),(X),(X)
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",592,59,26724,4076,62.7,11.0,32946,6327,9.0,6.1,11181,11278,15.9,6.8,9882,2457,16.9,8.6,9092,2196,20.3,9.8,2868,1356,6.8,4.1,8413,4628,297,62,29957,7073,41.1,15.7,N,N,44.8,17.4,N,N,4.4,4.3,N,N,6.7,6.9,N,N,3.0,3.4,N,N,0.0,8.1,N,N,1757,355,11196,2039,37.0,8.7,11744,3587,50.9,8.9,11095,2597,0.0,1.4,-,**,8.0,4.3,8867,6288,0.9,1.6,16406,3062,0.0,1.4,-,**,3.1,2.1,10807,3634,0.9,1.7,N,N,37.0,8.7,11744,3587,33.6,(X),(X),(X),30.3,(X),(X),(X),27.7,(X),(X),(X)
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",1211,105,54857,13410,60.2,8.6,40329,9437,32.9,6.7,45551,26898,36.0,5.2,24853,2300,0.7,1.1,-,**,0.0,2.0,-,**,20.5,5.6,27994,8416,305,55,129574,45124,51.8,12.8,120303,76254,27.9,12.1,180276,56668,12.1,9.8,121619,58979,8.2,7.2,27556,17778,0.0,7.9,-,**,0.0,7.9,-,**,2126,256,31713,7755,63.0,8.4,43992,11483,4.8,2.3,8884,6223,0.0,1.2,-,**,30.5,8.0,10254,6360,0.0,1.2,-,**,1.2,1.6,N,N,0.5,0.7,N,N,3.6,2.7,34614,40470,60.4,8.0,44192,11732,27.4,(X),(X),(X),24.3,(X),(X),(X),21.8,(X),(X),(X)
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",1008,103,25622,5283,86.0,6.8,26107,4403,9.5,3.9,1952,1901,7.0,3.1,17217,4286,0.6,1.0,9617,30,0.8,1.0,1238,20,2.5,2.1,14984,11486,120,53,29032,13779,19.2,13.8,N,N,37.5,22.1,N,N,12.5,12.5,N,N,30.8,22.7,N,N,0.0,18.7,N,N,0.0,18.7,N,N,3321,431,9132,1817,82.7,6.5,8984,1642,4.9,2.5,8616,7203,0.0,0.7,-,**,7.0,5.8,7758,3983,0.0,0.7,-,**,1.7,1.9,N,N,3.8,3.1,4840,3557,3.3,2.4,18429,13208,81.0,6.5,9106,1657,36.0,(X),(X),(X),30.0,(X),(X),(X),32.4,(X),(X),(X)
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",910,90,31268,5257,92.0,3.8,26845,5446,14.9,6.4,5882,3504,12.0,5.5,18809,6149,2.1,2.4,10995,4765,1.0,1.7,22000,5,7.8,2.8,30117,10403,142,61,55839,19280,4.9,9.3,N,N,47.9,24.5,N,N,16.2,17.5,N,N,7.0,9.9,N,N,0.0,16.1,N,N,23.9,22.8,N,N,2323,293,13206,2513,79.9,5.7,11884,2755,7.3,5.3,19494,4358,0.0,1.1,-,**,5.6,3.5,14464,7079,0.0,1.1,-,**,0.0,1.1,-,**,7.2,4.0,20479,12214,3.2,3.6,28460,22282,76.7,6.1,11186,2244,47.7,(X),(X),(X),46.5,(X),(X),(X),33.2,(X),(X),(X)
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",1191,99,43085,8883,79.0,6.3,44584,10280,17.3,6.4,3680,1769,24.3,6.3,13572,2680,4.6,3.0,5595,1991,2.2,1.6,212,90,9.4,4.2,23996,8895,319,79,65834,16452,25.4,14.6,N,N,30.4,15.7,N,N,27.6,14.7,N,N,9.1,7.6,N,N,5.0,5.9,N,N,2.5,4.0,N,N,3039,393,18017,3451,72.5,8.9,17417,3986,16.3,6.1,24763,7066,0.0,0.8,-,**,9.4,8.0,10750,12034,0.0,0.8,-,**,0.0,0.1,N,N,1.8,1.3,19609,24102,2.6,1.9,13185,7039,70.0,9.0,17564,4075,37.2,(X),(X),(X),37.3,(X),(X),(X),26.5,(X),(X),(X)
