service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1609-Collier-Weekday-25,1,1,1,1,1,0,0,20160925,20161119
1609-Collier-Saturday-75,0,0,0,0,0,1,0,20160925,20161119
1609-Collier-Sunday-15,0,0,0,0,0,0,1,20160925,20161119
1609-Liberty-Weekday-31,1,1,1,1,1,0,0,20160925,20161119
1609-Liberty-Saturday-78,0,0,0,0,0,1,0,20160925,20161119
1609-Liberty-Sunday-18,0,0,0,0,0,0,1,20160925,20161119
1609-Mifflin-Weekday-21,1,1,1,1,1,0,0,20160925,20161119
1609-Mifflin-Saturday-71,0,0,0,0,0,1,0,20160925,20161119
1609-Mifflin-Sunday-11,0,0,0,0,0,0,1,20160925,20161119
1609-Ross-Weekday-25,1,1,1,1,1,0,0,20160925,20161119
1609-Ross-Saturday-75,0,0,0,0,0,1,0,20160925,20161119
1609-Ross-Sunday-15,0,0,0,0,0,0,1,20160925,20161119
1609-Village-Weekday-25,1,1,1,1,1,0,0,20160925,20161119
1609-Village-Saturday-75,0,0,0,0,0,1,0,20160925,20161119
1609-Village-Sunday-15,0,0,0,0,0,0,1,20160925,20161119
W,1,1,1,1,1,0,0,20160925,20161119
S,0,0,0,0,0,1,0,20160925,20161119
U,0,0,0,0,0,0,1,20160925,20161119
