route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
048-164,1609-Collier-Weekday-25,2845-1386545,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -272,0480101
041-164,1609-Collier-Weekday-25,2846-1386392,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -219,0410024
048-164,1609-Collier-Weekday-25,2847-1386546,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480101
041-164,1609-Collier-Weekday-25,2848-1386393,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -220,0410024
048-164,1609-Collier-Weekday-25,2849-1386547,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -274,0480101
043-164,1609-Collier-Weekday-25,2850-1386388,Outbound-BAILEY TO BOGGS AVENUE,0,043 -242,0430029
041-164,1609-Collier-Weekday-25,2851-1386397,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -221,0410024
048-164,1609-Collier-Weekday-25,2852-1386548,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -275,0480101
041-164,1609-Collier-Weekday-25,2853-1386401,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -222,0410024
043-164,1609-Collier-Weekday-25,2854-1386389,Outbound-BAILEY TO BOGGS AVENUE,0,043 -243,0430029
048-164,1609-Collier-Weekday-25,2855-1386545,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -272,0480101
041-164,1609-Collier-Weekday-25,2856-1386404,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -223,0410024
048-164,1609-Collier-Weekday-25,2857-1386549,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -276,0480101
041-164,1609-Collier-Weekday-25,2858-1386409,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -224,0410024
043-164,1609-Collier-Weekday-25,2859-1386388,Outbound-BAILEY TO BOGGS AVENUE,0,043 -242,0430029
048-164,1609-Collier-Weekday-25,2860-1386546,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480101
041-164,1609-Collier-Weekday-25,2861-1386685,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -225,0410024
048-164,1609-Collier-Weekday-25,2862-1386547,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -274,0480101
041-164,1609-Collier-Weekday-25,2863-1386393,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -220,0410024
043-164,1609-Collier-Weekday-25,2864-1386389,Outbound-BAILEY TO BOGGS AVENUE,0,043 -243,0430029
048-164,1609-Collier-Weekday-25,2865-1386548,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -275,0480101
041-164,1609-Collier-Weekday-25,2866-1386397,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -221,0410024
048-164,1609-Collier-Weekday-25,2867-1386545,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -272,0480101
043-164,1609-Collier-Weekday-25,2868-1386388,Outbound-BAILEY TO BOGGS AVENUE,0,043 -242,0430029
041-164,1609-Collier-Weekday-25,2869-1386401,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -222,0410024
048-164,1609-Collier-Weekday-25,2870-1386546,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480101
041-164,1609-Collier-Weekday-25,2871-1386620,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -226,0410024
048-164,1609-Collier-Weekday-25,2872-1386547,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -274,0480101
041-164,1609-Collier-Weekday-25,2873-1386685,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -225,0410024
043-164,1609-Collier-Weekday-25,2874-1386388,Outbound-BAILEY TO BOGGS AVENUE,0,043 -242,0430029
048-164,1609-Collier-Weekday-25,2875-1386711,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -277,0480101
041-164,1609-Collier-Weekday-25,2876-1386684,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -227,0410024
048-164,1609-Collier-Weekday-25,2877-1386587,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -278,0480101
041-164,1609-Collier-Weekday-25,2878-1386687,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -228,0410024
043-164,1609-Collier-Weekday-25,2879-1386702,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430029
048-164,1609-Collier-Weekday-25,2880-1386656,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -279,0480101
041-164,1609-Collier-Weekday-25,2881-1386620,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -226,0410024
048-164,1609-Collier-Weekday-25,2882-1386711,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -277,0480101
041-164,1609-Collier-Weekday-25,2883-1386693,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -229,0410024
048-164,1609-Collier-Weekday-25,2884-1386587,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -278,0480101
043-164,1609-Collier-Weekday-25,2885-1386702,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430029
041-164,1609-Collier-Weekday-25,2886-1386684,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -227,0410024
048-164,1609-Collier-Weekday-25,2887-1386656,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -279,0480101
041-164,1609-Collier-Weekday-25,2888-1386687,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -228,0410024
048-164,1609-Collier-Weekday-25,2889-1386711,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -277,0480101
041-164,1609-Collier-Weekday-25,2890-1386692,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -230,0410024
043-164,1609-Collier-Weekday-25,2891-1386702,Outbound-BAILEY TO BOGGS AVENUE,0,043 -244,0430029
048-164,1609-Collier-Weekday-25,2892-1386589,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -280,0480101
041-164,1609-Collier-Weekday-25,2893-1386693,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -229,0410024
048-164,1609-Collier-Weekday-25,2894-1386657,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -281,0480101
041-164,1609-Collier-Weekday-25,2895-1386686,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -231,0410024
043-164,1609-Collier-Weekday-25,2896-1386642,Outbound-BAILEY TO BOGGS AVENUE,0,043 -245,0430029
048-164,1609-Collier-Weekday-25,2897-1386715,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -282,0480101
041-164,1609-Collier-Weekday-25,2898-1386689,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -232,0410024
043-164,1609-Collier-Weekday-25,2899-1386390,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430029
048-164,1609-Collier-Weekday-25,2900-1386589,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -280,0480101
041-164,1609-Collier-Weekday-25,2901-1386699,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -233,0410024
048-164,1609-Collier-Weekday-25,2902-1386550,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -283,0480101
041-164,1609-Collier-Weekday-25,2903-1386391,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -234,0410024
043-164,1609-Collier-Weekday-25,2904-1386642,Outbound-BAILEY TO BOGGS AVENUE,0,043 -245,0430029
048-164,1609-Collier-Weekday-25,2905-1386657,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -281,0480101
041-164,1609-Collier-Weekday-25,2906-1386694,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -235,0410024
048-164,1609-Collier-Weekday-25,2907-1386551,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -284,0480101
041-164,1609-Collier-Weekday-25,2908-1386686,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -231,0410024
043-164,1609-Collier-Weekday-25,2909-1386390,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430029
048-164,1609-Collier-Weekday-25,2910-1386719,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -285,0480101
041-164,1609-Collier-Weekday-25,2911-1386395,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -236,0410024
048-164,1609-Collier-Weekday-25,2912-1386697,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -286,0480101
043-164,1609-Collier-Weekday-25,2913-1386643,Outbound-BAILEY TO BOGGS AVENUE,0,043 -247,0430029
041-164,1609-Collier-Weekday-25,2914-1386689,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -232,0410024
048-164,1609-Collier-Weekday-25,2915-1386550,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -283,0480101
041-164,1609-Collier-Weekday-25,2916-1386400,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -237,0410024
043-164,1609-Collier-Weekday-25,2917-1386390,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430029
048-164,1609-Collier-Weekday-25,2918-1386657,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -281,0480101
041-164,1609-Collier-Weekday-25,2919-1386699,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -233,0410024
048-164,1609-Collier-Weekday-25,2920-1386551,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -284,0480101
041-164,1609-Collier-Weekday-25,2921-1386631,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -238,0410024
043-164,1609-Collier-Weekday-25,2922-1386643,Outbound-BAILEY TO BOGGS AVENUE,0,043 -247,0430029
048-164,1609-Collier-Weekday-25,2923-1386719,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -285,0480101
041-164,1609-Collier-Weekday-25,2924-1386696,Outbound-BOWER HILL TO BRIDGEVILLE,0,041 -239,0410024
043-164,1609-Collier-Weekday-25,2925-1386390,Outbound-BAILEY TO BOGGS AVENUE,0,043 -246,0430029
048-164,1609-Collier-Weekday-25,2926-1386697,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -286,0480101
048-164,1609-Collier-Weekday-25,2927-1386717,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -287,0480101
043-164,1609-Collier-Weekday-25,2928-1386643,Outbound-BAILEY TO BOGGS AVENUE,0,043 -247,0430029
