AFFGEOID,GEOID,busstop_count,bus_mean_service,busstop_mean_coverage
1400000US42003050100,42003050100,30.0,2864.18333333,39195.6666667
1400000US42003080600,42003080600,17.0,2652.28235294,29753.8823529
1400000US42003090200,42003090200,11.0,2308.81818182,71906.3636364
1400000US42003111400,42003111400,9.0,3027.22222222,33853.3333333
1400000US42003140500,42003140500,15.0,3274.2,49114.2666667
1400000US42003192000,42003192000,10.0,4283.9,126057.8
1400000US42003250300,42003250300,7.0,2487.11904762,42387.4285714
1400000US42003261500,42003261500,29.0,2329.86206897,47924.2758621
1400000US42003402000,42003402000,20.0,669.0,1221650.95
1400000US42003410000,42003410000,0.0,0.0,0.0
1400000US42003425000,42003425000,26.0,954.038461538,201503.576923
1400000US42003430200,42003430200,31.0,2613.75806452,499490.645161
1400000US42003456004,42003456004,0.0,0.0,0.0
1400000US42003468700,42003468700,9.0,1879.33333333,365726.111111
1400000US42003473602,42003473602,23.0,1328.82608696,165216.043478
1400000US42003479000,42003479000,2.0,0.0,463369.0
1400000US42003484600,42003484600,21.0,667.0,118133.857143
1400000US42003486900,42003486900,21.0,2385.47619048,78518.3333333
1400000US42003490002,42003490002,1.0,0.0,22312746.0
1400000US42003501000,42003501000,21.0,561.142857143,1623459.04762
1400000US42003516100,42003516100,20.0,1159.925,43952.1
1400000US42003523600,42003523600,6.0,967.0,458871.333333
1400000US42003552000,42003552000,4.0,485.0,160120.5
1400000US42003561200,42003561200,14.0,2739.10884354,34303.8571429
1400000US42003980000,42003980000,10.0,2972.33333333,174729.3
1400000US42003980800,42003980800,9.0,1315.66666667,125926.222222
1400000US42003980900,42003980900,4.0,676.25,125500.5
1400000US42007604100,42007604100,12.0,1262.0,1595305.66667
1400000US42007605001,42007605001,0.0,0.0,0.0
1400000US42019912700,42019912700,0.0,0.0,0.0
1400000US42129800200,42129800200,0.0,0.0,0.0
1400000US42129802200,42129802200,16.0,900.0,3687612.9375
1400000US42003462600,42003462600,20.0,1229.75,89781.95
1400000US42003468800,42003468800,7.0,2039.28571429,1427488.28571
1400000US42003472200,42003472200,8.0,3662.75,81201.625
1400000US42003473200,42003473200,7.0,1732.21428571,64433.5714286
1400000US42003475101,42003475101,20.0,278.5,345065.95
1400000US42003475304,42003475304,4.0,0.0,2404127.5
1400000US42003480101,42003480101,24.0,1266.52777778,143546.041667
1400000US42003498000,42003498000,0.0,0.0,0.0
1400000US42003500300,42003500300,0.0,0.0,0.0
1400000US42003512900,42003512900,7.0,3219.85714286,120205.0
1400000US42003518001,42003518001,19.0,860.842105263,208947.578947
1400000US42003523800,42003523800,22.0,543.0,286863.363636
1400000US42003526302,42003526302,16.0,1157.0,2238429.75
1400000US42003552100,42003552100,10.0,485.0,289781.4
1400000US42003560500,42003560500,15.0,1310.71666667,37347.2
1400000US42003561500,42003561500,18.0,1063.22275132,88953.3888889
1400000US42003562800,42003562800,13.0,1812.46153846,245429.923077
1400000US42003980100,42003980100,4.0,2706.5,416523.25
1400000US42003980600,42003980600,21.0,1372.16666667,91138.047619
1400000US42005951900,42005951900,0.0,0.0,0.0
1400000US42019912800,42019912800,0.0,0.0,0.0
1400000US42003010300,42003010300,29.0,2996.7683908,51953.5517241
1400000US42003030500,42003030500,29.0,2388.45517241,25672.9310345
1400000US42003050900,42003050900,9.0,2332.0,68348.7777778
1400000US42003070600,42003070600,12.0,3965.69444444,29773.1666667
1400000US42003080700,42003080700,14.0,3426.30952381,26687.5
1400000US42003101700,42003101700,15.0,1216.4,43667.6
1400000US42003120400,42003120400,13.0,1137.88461538,79606.9230769
1400000US42003130400,42003130400,16.0,3681.78125,29056.5
1400000US42003140800,42003140800,38.0,1300.89078947,62142.7894737
1400000US42003180700,42003180700,15.0,666.0,34511.3333333
1400000US42003270100,42003270100,27.0,2781.2037037,70867.6666667
1400000US42003310300,42003310300,4.0,1642.0,474110.0
1400000US42003401200,42003401200,7.0,669.0,1295133.28571
1400000US42003408001,42003408001,0.0,0.0,0.0
1400000US42003413201,42003413201,4.0,1183.5,31223290.25
1400000US42003416000,42003416000,4.0,1225.5,4168830.75
1400000US42003418000,42003418000,11.0,1225.5,616122.0
1400000US42003426800,42003426800,0.0,0.0,0.0
1400000US42003429500,42003429500,30.0,1100.34444444,316580.6
1400000US42003432300,42003432300,13.0,2076.61538462,283255.384615
1400000US42003446000,42003446000,13.0,1262.0,1961890.46154
1400000US42003457100,42003457100,8.0,1136.0,213878.625
1400000US42003457200,42003457200,28.0,1825.0,168554.821429
1400000US42125771200,42125771200,0.0,0.0,0.0
1400000US42129800100,42129800100,0.0,0.0,0.0
1400000US42129800400,42129800400,0.0,0.0,0.0
1400000US42019911502,42019911502,0.0,0.0,0.0
1400000US42003051000,42003051000,22.0,2371.31818182,34123.4090909
1400000US42003080400,42003080400,30.0,3346.64444444,23901.4666667
1400000US42003110600,42003110600,4.0,4744.0,84726.25
1400000US42003140300,42003140300,29.0,1737.27011494,40593.7241379
1400000US42003191100,42003191100,13.0,560.307692308,121298.0
1400000US42003250900,42003250900,16.0,627.0,50678.3125
1400000US42003281500,42003281500,12.0,1114.16666667,71598.3333333
1400000US42003423000,42003423000,8.0,2972.33333333,186584.375
1400000US42003427000,42003427000,25.0,1148.92,190986.2
1400000US42003430100,42003430100,18.0,3484.0,191665.444444
1400000US42003448000,42003448000,20.0,1262.0,1891232.7
1400000US42003455000,42003455000,0.0,0.0,0.0
1400000US42003463900,42003463900,18.0,974.833333333,80972.6111111
1400000US42003478200,42003478200,21.0,3892.55952381,83680.4761905
1400000US42003486800,42003486800,34.0,2195.68137255,56979.1470588
1400000US42003492900,42003492900,22.0,1689.36363636,243984.318182
1400000US42003507000,42003507000,6.0,1018.0,220391.666667
1400000US42003521500,42003521500,54.0,1702.41666667,624278.777778
1400000US42003552200,42003552200,8.0,1600.0,470555.0
1400000US42003980500,42003980500,4.0,913.666666667,405458.0
1400000US42003981800,42003981800,7.0,919.0,160679.857143
1400000US42007604000,42007604000,0.0,0.0,0.0
1400000US42007605002,42007605002,0.0,0.0,0.0
1400000US42125741100,42125741100,0.0,0.0,0.0
1400000US42129800300,42129800300,0.0,0.0,0.0
1400000US42003040500,42003040500,11.0,2791.82954545,48028.4545455
1400000US42003130200,42003130200,15.0,1482.16666667,27923.4
1400000US42003241200,42003241200,26.0,221.692307692,44566.4230769
1400000US42003470600,42003470600,22.0,1407.18181818,92955.2272727
1400000US42003483800,42003483800,38.0,1510.5245614,92600.1842105
1400000US42003512800,42003512800,15.0,3230.43333333,112375.4
1400000US42007603700,42007603700,0.0,0.0,0.0
1400000US42003040600,42003040600,3.0,913.666666667,100607.0
1400000US42003070300,42003070300,11.0,3141.45454545,50859.8181818
1400000US42003260900,42003260900,23.0,1169.23913043,59954.9565217
1400000US42003471000,42003471000,10.0,1136.0,79502.8
1400000US42003492800,42003492800,9.0,1432.77777778,204630.777778
1400000US42003508000,42003508000,23.0,1092.34782609,191285.26087
1400000US42003525200,42003525200,14.0,543.0,142320.428571
1400000US42003561100,42003561100,5.0,941.966666667,40002.6
1400000US42007601800,42007601800,0.0,0.0,0.0
1400000US42019912200,42019912200,0.0,0.0,0.0
1400000US42003488100,42003488100,8.0,536.4375,263735.0
1400000US42003424000,42003424000,37.0,3059.15315315,434115.864865
1400000US42003437000,42003437000,0.0,0.0,0.0
